,DaysFromFirstDate,State,district,Gender_F,Gender_M,Gender_Non-Binary,Married_couples_3_Households,Religion_Not_Stated,deceased,Sikhs,Married_couples_None_Households,Power_Parity_Rs_330000_425000,Population,Power_Parity_Above_Rs_545000,DaysFromFirstDate_y,Households_with_Telephone_Mobile_Phone_Both,Muslims,Main_source_of_drinking_water_River_Canal_Households,Literate,Household_size_9_persons_and_above_Households,Cultivator_Workers,Female_Workers,Other_Workers,Gender_Ratio,Power_Parity_Rs_240000_330000,Illiterate_Education,Household_size_1_person_Households,Total_Power_Parity,Christians,Households_with_Computer,active,LPG_or_PNG_Households,NumRuralHospitals_NHP18,Household_size_6_8_persons_Households,Area,Households_with_Television,Power_Parity_Rs_150000_330000,Households_with_Telephone_Mobile_Phone_Mobile_only,Married_couples_3_or_more_Households,Female,Not_having_bathing_facility_within_the_premises_Total_Households,TotalPublicHealthFacilities_HMIS,Total_Education,Secondary_Education,Non_Workers,Type_of_bathing_facility_Enclosure_without_roof_Households,Power_Parity_Rs_425000_545000,Households_with_Internet,Households_with_Radio_Transistor,Household_size_1_to_2_persons,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,District_code,Male,Negative,Household_Workers,Type_of_latrine_facility_Pit_latrine_Households,SC,Location_of_drinking_water_source_Away_Households,Agricultural_Workers,Power_Parity_Rs_90000_150000,NumUrbanHospitals_NHP18,Households_with_Telephone_Mobile_Phone,Households,Households_with_separate_kitchen_Cooking_inside_house,Main_source_of_drinking_water_Tapwater_Households,TotalSamples,Other_Education,NumUrbanBeds_NHP18,Hindus,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Location_of_drinking_water_source_Near_the_premises_Households,Male_Workers,Housholds_with_Electric_Lighting,Having_bathing_facility_Total_Households,Male_ST,Married_couples_1_Households,Population.1,Primary_Education,Households_with_Car_Jeep_Van,Power_Parity_Rs_150000_240000,Age_Group_0_29,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,NumDistrictHospitals_HMIS,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Literate_Education,Main_source_of_drinking_water_Un_covered_well_Households,Having_latrine_facility_within_the_premises_Total_Households,Married_couples_5__Households,Positive,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,NumRuralBeds_NHP18,Type_of_latrine_facility_Other_latrine_Households,Location_of_drinking_water_source_Within_the_premises_Households,Power_Parity_Rs_45000_150000,confirmed,DaysFromFirstDate_x,type_Private Laboratory,Power_Parity_Less_than_Rs_45000,Jains,Married_couples_2_Households,Main_Workers,Marginal_Workers,Buddhists,Others_Religions,Household_size_2_persons_Households,Household_size_3_to_5_persons_Households,Condition_of_occupied_census_houses_Dilapidated_Households,Male_SC,Power_Parity_Rs_330000_545000,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Higher_Education,Type_of_fuel_used_for_cooking_Any_other_Households,Rural_population,Rural_Households,Male_Literate,Age_Group_50,recovered,Household_size_3_persons_Households,Urban_population,NumPublicBeds_HMIS,Female_Literate,Workers,Graduate_Education,Power_Parity_Rs_45000_90000,Household_size_5_persons_Households,type_Government Laboratory,Urban_Households,type_Collection Site,Ownership_Owned_Households,Age_Group_30_49,Households_with_Scooter_Motorcycle_Moped,NumPrimaryHealthCenters_HMIS,Female_ST,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Households_with_Bicycle,NumSubDistrictHospitals_HMIS,Middle_Education,Main_source_of_drinking_water_Spring_Households,Ownership_Rented_Households,Married_couples_4_Households,Below_Primary_Education,Households_with_Telephone_Mobile_Phone_Landline_only,zone,NumCommunityHealthCenters_HMIS,Household_size_4_persons_Households,ST,Density,Female_SC,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Age_not_stated,state_active,state_recovered,state_deceased
22,1,Gujarat,Anand,0,2,0,20634,2719,2,1524,52524,250,60439692,538,97,34679,250919,188,1551253,27026,152412,217233,329593,919,314,360506,18243,4372,29789,32523,24,147122,364,110412,"196,024",203467,707,187528,23887,1005521,172481,2236,1949453,283571,1247951,42320,368,9902,64013,58103,78937,482,1087224,37014,16460,25352,104465,44677,346329,1293,122,244185,621987,344329,323542,39421,20487,20565,1798794,3879,51975,98762,627561,378310,254683,12761,266912,2092745,560542,19352,393,1134962,443,37,20391,1588947,9141,230571,569,2407,4193,11715,707,283725,2246,30,97,4,261,8591,83841,690031,154763,267,142,39860,231623,7967,54476,618,71,127459,183,34694609,413078,874481,366419,4,52344,25745083,41129,676772,844794,110351,953,84504,10,208909,0,379759,585093,104613,1770,12063,191147,172466,44,229013,55,31488,2684,257524,21978,3,385,94775,24824,308,49989,5017,6271,633,37,24
23,1,Gujarat,Rajkot,0,1,0,30574,3338,0,1918,73551,576,60439692,894,97,62685,361388,1540,2725056,41410,349357,319570,891628,919,866,738660,24044,8498,5478,67370,29,362140,364,199955,"196,024",571843,1600,558748,35598,1830113,189183,2236,3479411,540278,2325508,33164,942,21785,211531,94572,79342,476,1974445,37014,23780,42820,290169,62687,214285,2322,122,651936,1181006,689314,651594,39421,29924,20565,3397406,25539,41220,114748,1159480,747352,593448,12504,530055,3804558,913928,55289,734,2080568,4125,37,52563,2740751,12904,543342,776,2407,29434,11715,4758,605196,4031,41,97,4,455,33591,143427,1324783,154267,1170,269,70528,446694,9724,149782,1518,2117,204306,635,34694609,459474,1514075,659576,12,100983,25745083,41129,1210981,1479050,266295,1709,156491,10,721532,0,644828,1052871,428744,1770,11513,217110,355586,44,402240,238,111779,4248,383780,30503,2,385,189220,24017,308,140387,8555,11543,633,37,24
24,1,Gujarat,Surat,22,46,0,42215,3945,12,5703,216710,1170,60439692,1684,97,100342,660772,402,4571410,59925,109549,410723,2076214,919,1700,942150,48229,16368,21052,149331,390,815423,364,276610,"196,024",788447,3480,855336,49399,2679098,149151,2236,5438048,896927,3527780,157733,1924,55694,395329,174440,207420,492,3402224,37014,42040,23291,158115,62145,325739,4428,122,995637,1899838,1275151,1047402,39421,79862,20565,5260193,20722,117310,228438,2142819,1252452,1150519,432089,854742,6081322,1332690,106983,1780,3563443,4989,37,112976,4495898,12286,1103767,1103,2407,21375,11715,5698,1009087,7398,415,97,4,712,112835,178819,2405288,148254,12902,3920,126211,788695,8298,82202,3094,84,433651,1308,34694609,369840,2687468,723415,13,193437,25745083,41129,1883942,2553542,379505,2970,254274,10,1529998,0,788508,1740746,530528,1770,424863,149810,397563,44,807021,167,478407,6081,566242,39959,3,385,340984,856952,308,75913,5294,53718,633,37,24
25,1,Gujarat,Vadodara,5,4,0,36738,3110,10,9340,98592,584,60439692,1360,97,83851,384579,5373,2893080,49094,312126,460161,793306,919,924,910219,35169,9753,23813,117818,190,411734,364,206020,"196,024",497049,1813,462473,42196,2011890,247541,2236,3778551,504732,2472153,108542,905,53606,264896,122649,198108,486,2153736,37014,17680,28086,221629,94469,570361,2837,122,583926,1240425,820324,639002,39421,60177,20565,3713941,7232,39945,218599,1233312,798277,632580,586665,566507,4165626,865726,72630,889,2213474,908,37,95845,2868332,16732,543474,824,2407,14552,11715,1375,567053,4617,208,97,4,473,27650,172826,1360660,332813,2069,1124,87480,502358,11888,114602,1489,560,268451,276,34694609,547454,1614087,733710,8,124359,25745083,41129,1278993,1693473,314960,1780,165191,10,692971,0,771779,1190041,351423,1770,563236,323337,399901,44,457662,1387,88479,4634,396624,37602,3,385,212808,1149901,308,107027,7288,28401,633,37,24
26,1,Kerala,Kannur,2,5,0,15978,5945,0,424,100283,281,33406061,49,97,193231,742483,181,2138434,36672,36549,214739,691704,1084,373,279352,19717,4432,262526,83940,61,115356,981,101710,"38,863",423337,632,247886,20104,1341557,46193,1297,2569458,540383,1698887,9532,370,32653,239332,74153,13746,589,1181446,19998,12875,117871,83350,39088,82988,1292,299,503214,872479,533052,63652,20821,40277,21139,1509592,9712,12764,63511,609377,511167,497016,20141,350621,2523003,487016,44108,259,1187177,206,53,34105,2290106,397151,530436,809,437,24306,16865,247,440610,2564,109,97,2,536,193,72201,694209,129907,1118,722,54436,330674,19594,40260,651,3593,308670,143,17471135,306288,1012956,588081,48,87111,15934926,39511,1125478,824116,217203,1272,93855,10,566191,0,507341,741984,76530,933,21230,9535,66300,82,491844,10820,28563,3317,204713,62097,3,229,149708,41371,859,43090,33042,5761,79,78,0
27,1,Kerala,Kottayam,1,0,0,5858,4636,0,204,55261,105,33406061,88,97,202339,126499,730,1749798,6001,49991,205413,604169,1084,276,134393,15538,3071,858608,83999,1,187213,981,74003,"38,863",406922,517,191404,6177,1006262,63468,1297,1927701,475724,1238816,15549,70,37849,117604,70095,7562,597,968289,19998,18523,149689,153909,58162,63052,893,299,451226,678161,467182,110023,20821,52339,21139,983598,15927,6897,71856,530322,464039,416985,10974,346188,1974551,271496,73096,241,811653,290,53,50903,1793308,177265,464124,21,437,26930,16865,509,350435,1811,4,97,2,481,83,72827,604553,131182,358,565,54557,330354,19478,75503,175,3337,280720,168,17471135,481967,861592,565048,3,84509,15934926,39511,888206,735735,221350,918,95420,10,196194,0,434540,596302,122177,933,10998,12340,76041,82,373998,6936,37276,298,117681,57483,3,229,150425,21972,859,78406,25137,1548,79,78,0
28,1,Kerala,Kozhikode,0,1,0,21702,6967,0,297,96503,208,33406061,71,97,238753,1211131,328,2615443,32377,26543,196648,844928,1084,307,335520,20408,4594,131516,107602,9,145558,981,122779,"38,863",490719,661,294411,25527,1615351,70154,1297,3080497,630818,2137312,22819,338,36791,228436,84108,14347,591,1470942,19998,13312,88173,199191,55550,64198,1070,299,632201,990336,660228,143663,20821,53166,21139,1734958,15285,12553,86008,752333,641660,613671,7429,459312,3086293,564392,54277,354,1487644,164,53,51258,2744977,396233,668842,493,437,27954,16865,215,542267,2546,22,97,2,770,601,102483,754187,194794,235,588,63700,444561,31308,97279,546,1566,351267,185,17471135,323793,1266939,686109,13,114136,15934926,39511,1348504,948981,250117,1476,131865,10,666543,0,638772,909581,149330,933,7799,10094,94227,82,647221,10775,35910,3332,247996,99037,2,229,198560,15228,859,101912,18202,2959,79,78,0
29,1,Kerala,Malappuram,1,0,0,40822,6225,0,205,115399,73,33406061,83,97,218598,2888849,509,3311315,79209,57567,164267,869029,1084,265,622345,19178,4838,81556,119918,8,139994,981,200802,"38,863",485406,745,424435,51784,2152592,82426,1297,4194431,933793,3050496,23144,111,27909,207137,69135,25795,592,1960328,19998,18423,212489,308266,50719,117405,892,299,720497,1157129,739014,115058,20821,41344,21139,1135259,19300,22831,95071,898157,730119,692169,11272,482615,4112920,770417,59145,480,2406005,215,53,43503,3572086,508118,754074,1724,437,26145,16865,269,628805,2668,22,97,2,1156,68,124797,852047,210377,179,579,49957,425449,26689,151557,184,1552,392867,297,17471135,634543,1597404,662311,14,92845,15934926,39511,1713911,1062424,203779,1776,163389,10,522586,0,719609,1041361,138096,933,11718,14558,96908,82,814285,4784,47021,9238,415601,77464,2,229,169215,22990,859,156709,23025,3243,79,78,0
30,1,Punjab,Amritsar,0,2,0,19372,10864,2,1716935,45325,709,27743338,1012,97,39155,12502,255,1684770,28732,124617,182661,629998,895,576,540010,8987,6979,54344,63864,11,279993,510,138044,"50,362",413460,1399,313792,22637,1172248,49345,742,2025810,328229,1572800,102374,990,29961,71084,36730,253217,49,1318408,7100,41642,43459,770864,6683,121599,1582,172,379572,660953,458184,218410,7887,15879,12128,690939,7144,127669,26122,735195,461231,430958,0,324471,2490656,313874,56185,823,1384987,4725,28,49521,1485800,291,379230,488,257,7674,5805,5843,447498,2607,14,97,2,262,3152,87870,787254,130602,876,1044,27743,276797,31025,405977,1699,176,203656,196,17344192,275477,932981,436496,1,53282,10399146,13527,751789,917856,142399,1025,110436,3,385476,0,430041,667193,225063,521,0,96836,286368,47,283819,99,41576,2777,197944,26625,2,146,113079,0,550,364887,10552,1980,11,1,2
31,1,Tamil Nadu,Ariyalur,0,2,0,1243,853,0,104,31577,19,72147030,18,97,7216,7942,275,480604,1353,107312,147304,72138,996,108,233438,12986,1258,37403,8371,5,39642,692,27758,"130,058",165150,229,121775,1339,380191,157985,2581,766139,96860,395043,10906,44,1749,36609,43195,14696,616,374703,49506,13564,4701,176230,12471,166837,234,525,134358,254277,159746,173304,59023,16126,37353,708397,1006,8599,152795,212547,177502,40121,5274,146444,754894,134123,2937,121,380484,153,32,3046,532701,7201,35933,9,1629,2237,40179,588,32840,752,5,97,10,196,65,18746,272241,87610,88,42,30209,125800,6348,88076,63,609,53934,197,37229590,223955,269582,157771,0,35012,34917440,72616,211022,359851,57524,518,37933,16,30322,0,181005,216103,40913,1854,5448,158588,104900,310,113437,347,14004,87,60697,5367,2,385,52855,10722,555,88154,1950,536,473,179,0
32,1,Tamil Nadu,Chennai,4,11,0,15288,38356,0,2851,118340,748,72147030,3686,97,214074,439270,49,3776276,15916,14454,447995,1751824,996,1866,419065,30582,15742,358662,355838,279,910262,692,122912,"130,058",1055696,3820,688857,17628,2310888,33168,2581,4061097,801050,2829435,15930,1214,217368,398414,169721,170162,603,2335844,49506,37345,7440,779667,16519,13674,3685,525,1017122,1314125,1092062,908587,59023,67277,37353,3751322,18353,43461,245763,1369302,1096334,1073399,5207,859219,4646732,516445,146388,1954,2271657,2888,32,264763,3642032,3500,1057802,414,1629,19543,40179,3927,844285,5802,378,97,10,471,51708,111380,1619554,197743,2804,1759,139139,798018,9435,389001,1962,80,464207,619,37229590,0,1968079,899279,99,237897,34917440,72616,1808197,1817297,905515,2117,182588,16,1314125,0,522493,1468902,515581,1854,4854,6553,409796,310,720331,1061,565934,1926,167207,114191,3,385,377533,10061,555,390666,2587,6894,473,179,0
33,1,Tamil Nadu,Kancheepuram,1,0,0,10013,21978,0,1620,123421,522,72147030,797,97,103399,173785,1411,3013382,11202,89343,492506,1257225,996,560,678374,37098,8349,256762,200738,10,622095,692,115195,"130,058",904619,1698,665334,11193,1985294,188733,2581,3546183,634172,2324438,132855,832,100322,240359,166082,163172,604,2012958,49506,54732,51093,948081,61890,272514,1965,525,832716,1213504,822329,732354,59023,67354,37353,3537399,26856,129924,496248,1181308,961161,805076,20605,761575,3998252,535947,68427,1138,2076492,5912,32,137686,2867809,39231,651240,155,1629,32942,40179,9902,435671,3958,10,97,10,541,4962,97620,1367378,306436,990,756,128984,701330,13344,474264,1354,3262,312208,475,37229590,438799,1611461,715895,0,196143,34917440,72616,1401921,1673814,526886,1993,179266,16,774705,0,700252,1200284,418526,1854,20605,323242,425865,310,608188,1413,281627,1025,183054,63983,3,385,325921,41210,555,473817,9949,5581,473,179,0
34,1,Tamil Nadu,Madurai,0,4,0,7350,8602,0,520,112608,372,72147030,738,97,47472,168881,810,2273430,8561,92719,451928,841792,996,502,449125,40659,6917,97711,95311,22,391821,692,83006,"130,058",708942,1482,530152,8241,1511777,246100,2581,2847799,453509,1683620,66623,710,34097,228106,153915,90919,623,1526475,49506,47293,26772,408976,65204,372828,1526,525,618922,1010441,714764,678712,59023,39350,37353,2760502,19034,62999,434208,902704,754141,551839,5622,605700,3038252,525151,30852,980,1528178,5747,32,54832,2398674,3207,472221,129,1629,23070,40179,8103,298527,3158,50,97,10,458,1532,71390,1173902,180730,199,305,113256,552457,10479,205098,1082,1171,250285,304,37229590,417718,1223810,593827,28,154348,34917440,72616,1049620,1354632,363152,1632,139168,16,592723,0,491822,913715,228557,1854,5474,283179,325803,310,532616,2055,279755,762,234611,41298,3,385,258941,11096,555,203878,7653,2532,473,179,0
35,1,Tamil Nadu,Thanjavur,3,3,0,6279,2805,0,231,93957,187,72147030,348,97,42853,190814,152,1790998,7394,129913,293596,397605,996,389,461123,31686,4914,133971,42912,52,223044,692,82659,"130,058",522490,992,374054,7135,1223474,329940,2581,2273994,373111,1431811,59898,370,13495,137848,109324,97701,620,1182416,49506,31200,18669,455062,20460,415361,1064,525,446982,753372,514461,499900,59023,49261,37353,2075870,2937,34935,374666,680483,555582,275134,1739,445798,2405890,431983,17231,603,1193095,9827,32,24121,1812871,1831,272623,146,1629,4635,40179,10854,209948,2538,53,97,10,481,1256,58184,834484,139595,795,148,77638,405697,21937,225859,557,98,178126,171,37229590,479070,944264,499235,1,111423,34917440,72616,846734,974079,222410,1474,114151,16,274302,0,475525,712017,161750,1854,1822,307799,343328,310,419605,1448,108700,710,138375,30075,3,385,180123,3561,555,229203,6974,1543,473,179,0
36,1,Tamil Nadu,Thiruvallur,1,1,0,9615,18959,0,1422,117828,472,72147030,580,97,78827,143093,412,2791721,12554,73444,434491,1135784,996,455,610048,32054,7731,233633,174279,51,621907,692,103687,"130,058",857364,1592,630578,10766,1852042,151979,2581,3297728,622789,2190050,133464,876,75634,222750,150892,175520,602,1876062,49506,58240,76666,821646,63193,270586,1732,525,772398,1119433,805187,625071,59023,66378,37353,3325823,41640,148885,531907,1103563,909400,786843,23692,717165,3728104,461918,54505,1137,1925296,5948,32,112276,2687680,53570,636991,130,1629,44284,40179,11779,343722,3672,51,97,10,539,3693,93063,1247918,290136,951,530,118838,671689,17057,410526,1348,858,303091,474,37229590,387237,1495711,643614,0,185181,34917440,72616,1296010,1538054,451321,1940,164709,16,732196,0,636443,1154775,363741,1854,23551,280985,374923,310,600731,1374,291863,1021,181452,62993,3,385,321799,47243,555,411120,10795,4419,473,179,0
37,1,Tamil Nadu,Tiruchirappalli,0,1,0,6897,4302,0,324,111432,329,72147030,646,97,55391,190964,862,2038981,7495,170669,424773,634142,996,490,401149,43903,6411,246156,79588,18,333478,692,89376,"130,058",592152,1331,447223,7775,1370006,302285,2581,2526067,418930,1508311,59769,573,30046,233925,142144,70112,614,1352284,49506,30386,29132,466561,37971,378782,1450,525,537414,875727,556177,607773,59023,70392,37353,2279413,4714,47674,375662,789206,651621,398567,9414,513890,2722290,444023,28571,841,1346661,11815,32,49741,2124918,12369,340058,139,1629,7303,40179,13913,287219,3060,51,97,10,472,628,67755,1082329,131650,250,253,98241,461837,12804,230790,902,839,223178,566,37229590,452707,1087765,575960,33,132507,34917440,72616,951216,1213979,291506,1610,123698,16,423020,0,500203,797258,234290,1854,8784,302377,362952,310,447474,888,188095,739,229415,34800,2,385,205632,18198,555,235771,7220,2411,473,179,0
38,1,Tamil Nadu,Tiruvannamalai,0,1,0,8445,3486,0,232,83936,118,72147030,131,97,19983,91636,700,1626813,9408,292641,499182,373753,996,324,672427,27323,4189,66987,27529,9,176242,692,105226,"130,058",505170,807,345750,9562,1228986,331254,2581,2455139,343955,1226698,102902,271,6445,73410,96016,53134,606,1235889,49506,46720,25166,565329,33865,525063,798,525,389329,710163,349169,496596,59023,36454,37353,2294369,2850,40597,401432,738995,549077,262010,45956,422698,2464875,442688,7851,483,1301347,2926,32,10740,1782712,32837,135162,149,1629,4775,40179,3628,157967,2317,9,97,10,545,7898,77068,970072,268105,157,110,68693,382614,12541,282615,389,915,174560,253,37229590,563102,909803,477668,0,90489,34917440,72616,717010,1238177,158041,1519,126599,16,147061,0,536269,683904,138956,1854,44998,449825,309133,310,423135,310,47934,968,203879,23596,2,385,165526,90954,555,282714,4166,1956,473,179,0
39,1,Tamil Nadu,Viluppuram,1,0,0,12652,6884,0,325,102350,118,72147030,143,97,27731,133896,1555,2195776,16143,369646,685866,463153,996,437,999902,27779,5306,138279,43311,27,228172,692,154822,"130,058",676077,1001,484134,14726,1718054,496584,2581,3430072,508930,1755624,125683,271,8472,101921,114590,90689,607,1740819,49506,38237,21746,1015716,57534,832213,1041,525,547305,967314,459716,663958,59023,45680,37353,3174941,5283,59841,612231,1017383,748444,307759,37570,579796,3458873,646306,13030,564,1881463,1117,32,14829,2430170,35352,169801,368,1629,9540,40179,3534,134578,3043,45,97,10,730,4032,107471,1260802,442447,238,278,86811,518788,15143,510869,389,1860,246856,190,37229590,808042,1234479,624042,18,120940,34917440,72616,961297,1703249,229726,2002,175528,16,159272,0,726665,949892,184050,1854,37289,621276,351418,310,549742,842,67280,1706,202930,35440,2,385,222320,74859,555,504847,7054,3476,473,179,0
40,2,Bihar,Munger,3,1,0,6965,2576,1,338,21424,29,104099452,42,98,4853,110416,862,801817,18796,45953,99205,167566,918,20,498676,4944,1424,1815,17946,24,49141,930,85773,"94,163",69973,157,138260,9066,638724,154189,2146,1348410,147152,941107,59858,46,2653,56958,28389,184033,226,729041,2299,16690,12592,183846,43505,196449,307,103,149671,308063,236192,20237,13785,4394,5936,1252319,4871,7168,93833,327453,90461,109560,10995,199555,1367765,158699,3755,137,860147,1030,43,2838,849734,48900,102385,463,148,6270,6083,2634,126411,861,31,98,0,287,145,33704,233402,193256,95,61,23445,130791,20065,97195,75,419,101907,1855,92341436,222281,473741,188319,6,30778,11758016,17796,328076,426658,64469,554,52077,6,85782,0,248457,316713,24259,2007,10409,158542,112707,33,146414,118,11182,1638,226699,6558,3,63,47936,21404,"1,102",86651,13116,2586,63,28,1
41,2,Bihar,Patna,7,1,0,60090,21668,0,4803,77267,180,104099452,476,98,33562,439952,885,3459679,139437,271216,445475,867118,918,129,2590473,17629,7065,12551,132582,19,321307,930,328240,"94,163",453344,821,590486,86592,2759953,394646,2146,7511199,698351,3956579,223867,293,40692,227469,78118,666585,230,3078512,2299,85349,33740,920918,97253,658203,1877,103,662665,1210094,899309,231255,13785,46126,5936,5356075,14948,90643,252246,1436411,546859,562795,4717,609661,5838465,1095655,49821,692,3626564,4474,43,61156,4920726,32808,507581,7766,148,17401,6083,7981,607942,4202,24,98,0,1091,2151,183921,1371267,510619,1062,203,60489,411646,71080,482088,473,1105,463361,11250,92341436,657991,2028047,815638,5,83095,11758016,17796,1431632,1881886,452340,2325,175456,6,552103,0,829728,1382654,176114,2007,4352,433555,430595,33,920051,463,104162,18736,1244842,38617,3,63,153095,9069,"1,102",438830,24702,13609,63,28,1
42,2,Bihar,Rohtas,1,5,0,37743,6185,0,2569,33837,28,104099452,46,98,8169,300487,556,1799832,87548,218087,216940,252736,918,20,876443,8103,1555,2889,36279,7,41659,930,166881,"94,163",106218,187,291988,58724,1416372,207416,2146,3065196,333053,2035039,163333,45,4594,123491,35246,412516,234,1543546,2299,48512,5419,549546,26201,405544,363,103,312557,608061,432151,25242,13785,16006,5936,2645415,5613,5158,73129,707939,114893,248462,16399,260042,2959918,548971,10819,167,1875174,1544,43,4727,2188753,8126,128652,7318,148,6761,6083,2969,356548,951,7,98,0,299,252,103275,542439,382440,1584,537,27143,166203,28748,286596,73,471,194928,5119,92341436,512383,1061783,407193,0,32977,11758016,17796,738049,924879,161555,588,75928,6,95678,0,433720,673742,49892,2007,15251,322377,224824,33,399053,121,15995,13663,535187,12400,3,63,57298,31650,"1,102",262950,6234,3809,63,28,1
43,2,Bihar,Siwan,0,1,0,41033,5708,0,369,45113,13,104099452,32,98,8090,608282,259,1930175,107489,264928,202020,259900,918,9,1207119,10879,3014,2618,37833,13,42384,930,203685,"94,163",74071,327,378819,61005,1655374,268199,2146,3628240,355277,2398048,204642,21,3834,181860,42432,518473,218,1675090,2299,31244,9063,386685,27943,376344,596,103,401299,674372,502991,19043,13785,12091,5936,2712635,2685,1279,158086,730396,52935,276680,43472,323877,3330464,612635,10891,318,2115448,788,43,4088,2421121,1883,124672,6151,148,3415,6083,2589,358850,1888,30,98,0,734,359,114884,462104,470312,407,86,31553,191273,44252,195965,34,413,186817,1873,92341436,632514,1115906,498299,17,39746,11758016,17796,814269,932416,119164,1292,86278,6,41858,0,535085,713597,64065,2007,43528,414315,382782,33,445257,58,6347,13821,689880,14390,2,63,65249,87000,"1,102",190720,6797,3120,63,28,1
44,2,Gujarat,Anand,3,0,0,20634,2719,2,1524,52524,250,60439692,538,98,34679,250919,188,1551253,27026,152412,217233,329593,919,314,360506,18243,4372,29789,32523,22,147122,364,110412,"196,024",203467,707,187528,23887,1005521,172481,2236,1949453,283571,1247951,42320,368,9902,64013,58103,78937,482,1087224,39760,16460,25352,104465,44677,346329,1293,122,244185,621987,344329,323542,42384,20487,20565,1798794,3879,51975,98762,627561,378310,254683,12761,266912,2092745,560542,19352,393,1134962,443,37,20391,1588947,9141,230571,569,2624,4193,11715,707,283725,2246,33,98,4,261,8591,83841,690031,154763,267,142,39860,231623,7967,54476,618,71,127459,183,34694609,413078,874481,366419,9,52344,25745083,41129,676772,844794,110351,953,84504,10,208909,0,379759,585093,104613,1770,12063,191147,172466,44,229013,55,31488,2684,257524,21978,3,385,94775,24824,308,49989,5017,6271,652,108,36
45,2,Gujarat,Bharuch,0,5,0,9888,2480,2,1733,46331,180,60439692,336,98,26021,343511,2217,1118276,17153,78120,158205,286525,919,236,273829,15944,3242,9494,29531,24,121542,364,76472,"196,024",178535,518,176875,11477,745312,73438,2236,1330179,188539,923895,69311,293,10257,50018,50563,58860,488,805707,39760,8902,17549,62235,34474,253577,922,122,215142,481996,308906,253257,42384,16036,20565,1188204,7512,24691,95961,468919,309091,261660,250398,225413,1551019,367060,21579,282,844298,1024,37,20255,1056350,8934,204943,279,2624,10087,11715,1295,204663,1704,29,98,4,213,4813,51877,526541,100583,442,342,34619,190910,4023,31979,473,112,83895,322,34694609,300677,623047,254728,3,45366,25745083,41129,495229,627124,74380,782,66919,10,181319,0,279792,442523,104126,1770,237796,125360,96508,44,164765,246,44555,1310,161675,12246,2,385,78625,488194,308,30256,4199,9470,652,108,36
46,2,Gujarat,Bhavnagar,0,1,0,24583,2515,5,1410,50468,366,60439692,452,98,23109,212863,1966,1887255,46639,231796,311851,566815,919,495,508664,16604,5434,3457,28925,10,171327,364,177277,"196,024",293361,898,363545,29895,1390164,167352,2236,2612192,281250,1729733,68027,599,7297,74663,65453,78614,481,1490201,39760,17996,14581,157034,81285,334025,1490,122,400446,744077,422064,390572,42384,13946,20565,2632574,24549,35266,99637,838781,500757,375112,4751,365160,2880365,929286,17517,403,1708938,1440,37,18127,2103528,27398,292210,988,2624,27433,11715,1608,361542,2760,33,98,4,359,26974,96941,992140,158492,445,127,48849,253095,7301,80827,965,702,96241,314,34694609,387251,1087371,445121,18,48541,25745083,41129,799884,1150632,93391,1270,111190,10,356826,0,467094,720241,200864,1770,4359,237853,238912,44,266953,216,61608,4324,422461,13792,3,385,93364,9110,308,76207,3555,6065,652,108,36
